City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
68,Sistranda,NO,63.7256,8.834,42.76,56,18,14.61,few clouds
69,Rafiganj,IN,24.8167,84.65,68.14,46,0,4.83,clear sky
70,Salalah,OM,17.0151,54.0924,73.49,64,20,2.3,few clouds
71,Lompoc,US,34.6391,-120.4579,52.79,72,0,6.91,clear sky
72,Arrecife,ES,28.963,-13.5477,62.58,67,0,0.0,clear sky
73,Lorengau,PG,-2.0226,147.2712,85.41,57,99,8.46,overcast clouds
74,Novobirilyussy,RU,56.9514,90.6661,26.4,87,100,11.18,light snow
75,Avanigadda,IN,16.0215,80.9181,71.85,65,90,5.01,overcast clouds
76,Albanel,CA,48.8832,-72.4487,24.94,93,100,8.05,overcast clouds
77,Faya,SA,18.3851,42.4509,52.32,55,4,2.46,clear sky
78,Kavieng,PG,-2.5744,150.7967,84.94,70,86,8.34,overcast clouds
79,Lebyazhye,RU,55.2689,66.4947,9.1,79,100,6.02,overcast clouds
80,Palasa,IN,18.7667,84.4167,75.06,52,8,3.94,clear sky
81,Sao Filipe,CV,14.8961,-24.4956,77.05,69,77,3.33,broken clouds
82,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,58,0,6.91,clear sky
83,Nizhniy Kuranakh,RU,58.8353,125.4869,15.3,92,100,2.98,overcast clouds
84,Constantine,DZ,36.365,6.6147,58.41,88,75,3.44,broken clouds
85,Tautira,PF,-17.7333,-149.15,77.72,78,72,6.02,broken clouds
86,Bethel,US,41.3712,-73.414,41.54,74,0,6.91,clear sky
87,Otradnoye,RU,59.7775,30.8181,34.95,97,97,6.93,light snow
88,Bluff,NZ,-46.6,168.3333,58.8,89,100,14.27,overcast clouds
89,Arraial Do Cabo,BR,-22.9661,-42.0278,71.62,76,94,13.62,overcast clouds
90,Acapulco,MX,16.8634,-99.8901,78.62,89,20,0.0,few clouds
91,Katsuura,JP,35.1333,140.3,60.73,68,94,14.56,overcast clouds
92,Atuona,PF,-9.8,-139.0333,78.48,76,8,15.37,clear sky
93,Kuytun,RU,54.3419,101.5036,26.11,68,78,3.38,broken clouds
94,Mecca,SA,21.4267,39.8261,76.55,73,86,3.53,overcast clouds
95,Salinopolis,BR,-0.6136,-47.3561,79.5,76,97,7.27,overcast clouds
96,Marquette,US,46.5333,-87.6335,26.33,85,100,2.55,overcast clouds
97,Mataura,NZ,-46.1927,168.8643,58.48,82,99,4.14,overcast clouds
98,Hudiksvall,SE,61.729,17.1036,33.22,85,63,2.42,broken clouds
99,Mayo,US,38.8876,-76.5119,44.55,57,100,12.66,overcast clouds
100,Hobart,AU,-42.8794,147.3294,62.06,61,40,14.97,scattered clouds
101,Georgetown,MY,5.4112,100.3354,84.88,84,20,5.75,few clouds
102,Aksu,CN,41.1231,80.2644,38.5,41,0,7.54,clear sky
103,Dzaoudzi,YT,-12.7887,45.2699,75.09,88,20,2.3,few clouds
104,Farah,AF,32.5,62.5,52.16,32,3,3.78,clear sky
105,Krutikha,RU,53.9599,81.2093,20.14,83,100,12.86,overcast clouds
106,Manyana,BW,-23.4,21.7167,73.08,54,15,4.27,few clouds
107,Nouadhibou,MR,20.931,-17.0347,71.58,56,1,13.8,clear sky
108,Bairiki,KI,1.3292,172.9752,87.8,62,40,13.8,scattered clouds
109,Bowen,AU,-20.0167,148.2333,83.17,59,65,21.88,broken clouds
110,Dumabato,PH,16.3167,121.7,80.37,74,84,3.44,broken clouds
111,Pangnirtung,CA,66.1451,-65.7125,-1.88,83,72,3.0,broken clouds
112,Kharan,PK,28.5833,65.4167,60.01,23,0,8.5,clear sky
113,Poya,NC,-21.35,165.15,81.48,70,100,5.19,overcast clouds
114,Ilulissat,GL,69.2167,-51.1,17.62,73,100,6.91,overcast clouds
115,Lata,PT,40.1629,-8.3327,63.07,97,99,10.38,overcast clouds
116,Severo-Kurilsk,RU,50.6789,156.125,35.35,62,96,6.24,overcast clouds
117,Lasa,IT,46.6166,10.7002,41.88,73,64,2.21,broken clouds
118,Khani,GE,41.9563,42.9566,40.57,71,90,4.9,overcast clouds
119,Coihaique,CL,-45.5752,-72.0662,51.75,82,89,8.05,light rain
120,San Policarpo,PH,12.1791,125.5072,80.15,87,100,11.1,moderate rain
121,Bengkulu,ID,-3.8004,102.2655,76.78,88,100,6.93,moderate rain
122,Beira,MZ,-19.8436,34.8389,71.69,94,20,5.75,few clouds
123,Flinders,AU,-34.5833,150.8552,67.17,53,48,5.99,scattered clouds
124,Dunedin,NZ,-45.8742,170.5036,55.8,99,100,6.06,overcast clouds
125,Bilma,NE,18.6853,12.9164,64.78,26,4,6.67,clear sky
126,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,98,8.99,overcast clouds
127,Charters Towers,AU,-20.1,146.2667,93.99,13,67,9.24,broken clouds
128,Skjervoy,NO,70.0311,20.9714,28.4,44,8,5.88,clear sky
129,Victoria,HK,22.2855,114.1577,80.96,80,64,11.01,broken clouds
130,Luderitz,NA,-26.6481,15.1594,58.71,83,12,10.74,few clouds
131,Kavaratti,IN,10.5669,72.642,81.66,72,100,4.63,overcast clouds
132,Manono,CD,-7.3,27.4167,65.93,94,94,3.2,overcast clouds
133,Port Elizabeth,ZA,-33.918,25.5701,63.32,79,0,10.0,clear sky
134,Tiksi,RU,71.6872,128.8694,-19.82,99,96,3.42,overcast clouds
135,Egvekinot,RU,66.3167,-179.1667,28.78,99,100,6.11,snow
136,Tuatapere,NZ,-46.1333,167.6833,59.56,84,100,4.59,overcast clouds
137,Ponta Do Sol,PT,32.6667,-17.1,69.71,83,87,6.42,overcast clouds
138,Nikolskoye,RU,59.7035,30.7861,34.79,96,97,7.14,light snow
139,Urusha,RU,54.05,122.9,12.87,90,100,3.65,light snow
140,Lebu,CL,-37.6167,-73.65,55.89,94,62,8.39,broken clouds
141,Chhagalnaiya,BD,23.03,91.5069,73.51,70,0,6.11,clear sky
142,Clyde River,CA,70.4692,-68.5914,-1.97,84,100,17.27,light snow
143,Whitehorse,CA,60.7161,-135.0538,16.57,92,0,15.01,clear sky
144,Navoi,UZ,40.0844,65.3792,33.28,86,100,13.8,overcast clouds
145,Necochea,AR,-38.5473,-58.7368,58.98,90,93,5.08,overcast clouds
